,Date,Close,cases
183,23-10-2020,11930.35,53931
184,26-10-2020,11767.75,36019
185,27-10-2020,11889.4,43036
186,28-10-2020,11729.6,50188
187,29-10-2020,11670.8,48765
188,30-10-2020,11642.4,48117
189,02-11-2020,11669.15,37592
190,03-11-2020,11813.5,46027
191,04-11-2020,11908.5,50465
192,05-11-2020,12120.3,47628
193,06-11-2020,12263.55,50017
194,09-11-2020,12461.05,37119
195,10-11-2020,12631.1,44724
196,11-11-2020,12749.15,48285
197,12-11-2020,12690.8,44585
198,13-11-2020,12719.95,44620
199,14-11-2020,12780.25,41692
200,17-11-2020,12874.2,38548
201,18-11-2020,12938.25,45366
202,19-11-2020,12771.7,46185
203,20-11-2020,12859.05,46283
204,23-11-2020,12926.45,37441
205,24-11-2020,13055.15,44245
206,25-11-2020,12858.4,44699
207,26-11-2020,12987,43174
208,27-11-2020,12968.95,41353
209,01-12-2020,13109.05,36474
210,02-12-2020,13113.75,35506
211,03-12-2020,13133.9,36574
212,04-12-2020,13258.55,36711
213,07-12-2020,13355.75,26227
214,08-12-2020,13392.95,32083
215,09-12-2020,13529.1,31637
216,10-12-2020,13478.3,29411
217,11-12-2020,13513.85,29961
218,14-12-2020,13558.15,21941
219,15-12-2020,13567.85,26251
220,16-12-2020,13682.7,18172
221,17-12-2020,13740.7,26754
222,18-12-2020,13760.55,26991
223,21-12-2020,13328.4,19147
224,22-12-2020,13466.3,23880
225,23-12-2020,13601.1,24716
226,24-12-2020,13749.25,23444
227,28-12-2020,13873.2,16072
228,29-12-2020,13932.6,20542
229,30-12-2020,13981.95,21945
