,Date,cases,Close
55,19-03-2020,3233.75,3233.75
56,20-03-2020,3413.55,3413.55
57,23-03-2020,2905.15,2905.15
58,24-03-2020,2975.15,2975.15
59,25-03-2020,3110.5,3110.5
60,26-03-2020,3219.9,3219.9
61,27-03-2020,3206.5,3206.5
62,30-03-2020,3121.5,3121.5
63,31-03-2020,3180.6,3180.6
64,01-04-2020,3095.45,3095.45
65,03-04-2020,3037,3037
66,07-04-2020,3232.1,3232.1
67,08-04-2020,3287.8,3287.8
68,09-04-2020,3420.95,3420.95
69,13-04-2020,3371.8,3371.8
70,15-04-2020,3419.55,3419.55
71,16-04-2020,3499.5,3499.5
72,17-04-2020,3593.95,3593.95
73,20-04-2020,3600.75,3600.75
74,21-04-2020,3472.65,3472.65
75,22-04-2020,3521.7,3521.7
76,23-04-2020,3571.15,3571.15
77,24-04-2020,3470.35,3470.35
78,27-04-2020,3531.25,3531.25
79,28-04-2020,3597.8,3597.8
80,29-04-2020,3649.15,3649.15
81,30-04-2020,3722.4,3722.4
82,04-05-2020,3548.65,3548.65
83,05-05-2020,3518.8,3518.8
84,06-05-2020,3567.65,3567.65
85,07-05-2020,3542.5,3542.5
86,08-05-2020,3537.5,3537.5
87,11-05-2020,3567.15,3567.15
88,12-05-2020,3547.5,3547.5
89,13-05-2020,3647.6,3647.6
90,14-05-2020,3626.1,3626.1
91,15-05-2020,3618.5,3618.5
92,18-05-2020,3430.8,3430.8
93,19-05-2020,3451.8,3451.8
94,20-05-2020,3505.3,3505.3
95,21-05-2020,3529.15,3529.15
96,22-05-2020,3496.85,3496.85
97,26-05-2020,3567.2,3567.2
98,27-05-2020,3603.6,3603.6
99,28-05-2020,3663.2,3663.2
100,29-05-2020,3713.55,3713.55
101,01-06-2020,3838.9,3838.9
102,02-06-2020,3882.6,3882.6
103,03-06-2020,3880.35,3880.35
104,04-06-2020,3880.95,3880.95
105,05-06-2020,3946.45,3946.45
106,08-06-2020,3955.6,3955.6
107,09-06-2020,3940.6,3940.6
108,10-06-2020,3992.6,3992.6
109,11-06-2020,3944.55,3944.55
110,12-06-2020,4020.05,4020.05
111,15-06-2020,3952.9,3952.9
112,16-06-2020,3975.5,3975.5
113,17-06-2020,3984.55,3984.55
114,18-06-2020,4035.6,4035.6
115,19-06-2020,4088.15,4088.15
116,22-06-2020,4167.85,4167.85
117,23-06-2020,4209.5,4209.5
118,24-06-2020,4132.1,4132.1
119,25-06-2020,4168.95,4168.95
120,26-06-2020,4171.75,4171.75
121,29-06-2020,4095.95,4095.95
122,30-06-2020,4094.25,4094.25
123,01-07-2020,4115.8,4115.8
124,02-07-2020,4170.85,4170.85
125,03-07-2020,4208.75,4208.75
126,06-07-2020,4289.55,4289.55
127,07-07-2020,4312.65,4312.65
128,08-07-2020,4285.05,4285.05
129,09-07-2020,4308.1,4308.1
130,10-07-2020,4266.05,4266.05
131,13-07-2020,4256.3,4256.3
132,14-07-2020,4180.15,4180.15
133,15-07-2020,4141.4,4141.4
134,16-07-2020,4172.15,4172.15
135,17-07-2020,4248.15,4248.15
136,20-07-2020,4282.65,4282.65
137,21-07-2020,4283.1,4283.1
138,22-07-2020,4288.8,4288.8
139,23-07-2020,4319.65,4319.65
140,24-07-2020,4286.2,4286.2
141,27-07-2020,4224.95,4224.95
142,28-07-2020,4280.65,4280.65
143,29-07-2020,4305.85,4305.85
144,30-07-2020,4256.95,4256.95
145,31-07-2020,4249.05,4249.05
146,03-08-2020,4231.3,4231.3
147,04-08-2020,4288.65,4288.65
148,05-08-2020,4318.55,4318.55
149,06-08-2020,4356.4,4356.4
150,07-08-2020,4437.75,4437.75
151,10-08-2020,4478.5,4478.5
152,11-08-2020,4480.15,4480.15
153,12-08-2020,4505.65,4505.65
154,13-08-2020,4604.6,4604.6
