,Date,cases,Close
172,08-10-2020,70797,2939.8
173,09-10-2020,73305,2937.6
174,12-10-2020,54262,2940.25
175,13-10-2020,63717,2940.85
176,14-10-2020,67811,2947.3
177,15-10-2020,63441,2886.05
178,16-10-2020,62304,2922.2
179,19-10-2020,45506,2942.9
180,20-10-2020,54348,2951.85
181,21-10-2020,56264,2948.95
182,22-10-2020,54371,2979.25
183,23-10-2020,53931,2996.9
184,26-10-2020,36019,2954.35
185,27-10-2020,43036,2957.85
186,28-10-2020,50188,2929.6
187,29-10-2020,48765,2895.3
188,30-10-2020,48117,2888.8
189,02-11-2020,37592,2850.9
190,03-11-2020,46027,2844.8
191,04-11-2020,50465,2838.65
192,05-11-2020,47628,2891.3
193,06-11-2020,50017,2902.25
194,09-11-2020,37119,2910.5
195,10-11-2020,44724,2900.75
196,11-11-2020,48285,2930.15
197,12-11-2020,44585,2963.7
198,13-11-2020,44620,2982.15
199,14-11-2020,41692,3003.9
200,17-11-2020,38548,3000.25
201,18-11-2020,45366,3014.7
202,19-11-2020,46185,3009.5
203,20-11-2020,46283,3049.3
204,23-11-2020,37441,3111.5
205,24-11-2020,44245,3146.65
206,25-11-2020,44699,3119.6
207,26-11-2020,43174,3146.45
208,27-11-2020,41353,3253.1
209,01-12-2020,36474,3290.4
210,02-12-2020,35506,3295.5
211,03-12-2020,36574,3307.4
212,04-12-2020,36711,3322.05
213,07-12-2020,26227,3349.95
214,08-12-2020,32083,3349.75
215,09-12-2020,31637,3378.85
216,10-12-2020,29411,3362.9
217,11-12-2020,29961,3393.5
218,14-12-2020,21941,3427.75
219,15-12-2020,26251,3429.6
220,16-12-2020,18172,3465.1
221,17-12-2020,26754,3474.2
222,18-12-2020,26991,3480.9
223,21-12-2020,19147,3308.85
224,22-12-2020,23880,3327.15
225,23-12-2020,24716,3425.5
226,24-12-2020,23444,3457
227,28-12-2020,16072,3507.9
228,29-12-2020,20542,3518.6
229,30-12-2020,21945,3530.6
